facility_chars.Fac_Name,facility_types.Fac_Type,facility_chars.Fac_Add,facility_chars.Fac_TMK,facility_chars.GW_Risk,facility_chars.Fac_Area_Acre,facility_chars.Fac_Area,facility_chars.Bldg_Area,facility_chars.Pave_Area,facility_chars.Unpave_Area,facility_chars.Imperv,facility_chars.Tm,facility_chars.Runoff_Coeff,facility_chars.Length,facility_chars.Char_Ground,facility_chars.Fac_Slope,facility_chars.TC,facility_chars.CF,facility_chars.Q_Peak,facility_chars.WQV,facility_chars.Des_Storm_Depth,facility_chars.Runoff_Coeff2,facility_chars.Imperv2,facility_chars.Fac_Area2,facility_chars.WQFR,facility_chars.Runoff_Coeff3,facility_chars.WQ_Intensity,facility_chars.Fac_Area3,facility_chars.OP_Shutdown,facility_chars.Soil_Type,facility_chars.FP_100_Year,facility_chars.Num_Ind_DP,facility_chars.Runoff_Type,facility_chars.Ex_Struct_BMP,facility_chars.Count_Pipe,facility_chars.Count_Sheet,facility_chars.Count_CB,facility_chars.Count_Chan,facility_chars.Count_DS,facility_chars.Count_TD,facility_chars.SMA_Area,facility_chars.OFFSITE_SD_Exist,facility_chars.DS_SS_Exist,facility_chars.EM_Area,facility_chars.Dmg_Pave,facility_chars.TFMR_Exist,facility_chars.Can_Add_SD,facility_chars.Indus_Area,facility_chars.Indus_WQV,facility_chars.Indus_WQFR
Kalihi-Palama Bus & Paratransit Facility,Bus Maintenance Facility,"611 and 811 Middle Street 
Honolulu, Hawaii 96819","(1) 1-2-015:006, (1) 1-2-016-006:007, (1) 1-2-018-003, 009, 011",High,24.6671258,1074500,206538,867962,0,1,2.4,0.9,403,Paved,0.014888337,7.5,2.5,133.2024793,85064.58333,1,0.95,1,24.6671258,13.32024793,0.9,0.4,24.6671258,0,Quarry,Partial,3,Catch Basin to Piped Outlet,OWS,0,0,3,0,0,0,No,Yes,Yes,120,0,Yes,Yes,1045400,31774.3,12.96
Pearl City Bus Facility,Bus Maintenance Facility,"1200 Waimano Home Road 
Pearl City, Hawaii 96782",(1) 9-7-024:047,High,24.04299816,1047313,122654,854990,69669,0.933478339,2.4,0.9,687,Paved,0.02238806,7.5,1.7,88.28588926,77687.10417,1,0.890130505,0.933478339,24.04299816,12.98321901,0.9,0.4,24.04299816,0,Silty Clay Loam,Undetermined,2,Catch Basin to Piped Outlet,OWS,0,0,2,0,0,0,No,Yes,Yes,120,0,Yes,Yes,1047313,77687.10417,12.98321901
Kapaa Refuse Transfer Station,Refuse Transfer Stations/Collection Yards/Centers,"100 Kapaa Quarry Road
Kailua, Hawaii, 96734",(1) 4-2-015:005,Medium,13.14,572378.4,36692,216424,319262.4,0.442217945,2.8,0.9,694,Paved,0.02,8,2.5,82.782,21368.61,1,0.447996151,0.442217945,13.14,7.0956,0.9,0.4,13.14,0,Quarry,No,2,Catch Basin to Piped Outlet,None,0,0,2,0,0,0,Yes,No,No,216424,54106,Yes,Yes,403900,19531.8,5.01
Kawailoa Refuse Transfer Station,Refuse Transfer Stations/Collection Yards/Centers,"62-180 Kawailoa Drive
Haleiwa, Hawaii 96712",(1) 6-1-005:018,High,3.049494949,132836,1937,50750,80149,0.396631937,2.6,0.9,154,Paved,0.019607843,6,2.6,18.55312727,4505.008333,1,0.406968743,0.396631937,3.049494949,1.646727273,0.9,0.4,3.049494949,0,Coral Outcrop,No,1,Piped Outlet,None,1,1,0,0,0,0,Yes,No,No,50750,12687.5,Yes,No,132836,4505.008333,1.646727273
Keehi Refuse Transfer Station,Refuse Transfer Stations/Collection Yards/Centers,"606 Middle Street
Honolulu, Hawaii 96819",(1) 1-1-006:013,High,5.589233242,243467,56755,131614,55098,0.773694176,2.3,0.9,544,Paved,0.044117647,6.5,2.6,30.08125331,15142.12083,1,0.746324759,0.773694176,5.589233242,3.01818595,0.9,0.4,5.589233242,0,Fill,Yes,1,Catch Basin to Piped Outlet,None,0,0,1,0,0,0,No ,Yes,Yes,131614,32903.5,Yes,Yes,243467,15142.12083,3.01818595
Honolulu Refuse Collection Yard,Refuse Transfer Stations/Collection Yards/Centers,"626 Middle Street
Honolulu, Hawaii 96819",(1) 1-1-008:002,High,1.818227732,79202,5993,54098,19111,0.758705588,2.3,0.9,343,Paved,0.013119534,6.5,2.5,9.409328512,4836.833333,1,0.732835029,0.758705588,1.818227732,0.981842975,0.9,0.4,1.818227732,0,Fill,Partial,1,Sheet Flow,None,0,1,0,0,0,0,No ,No,No,54098,13524.5,No,Yes,79202,4836.833333,0.981842975
Pearl City Refuse Collection Yard,Refuse Transfer Stations/Collection Yards/Centers,"952 Third Street
Pearl City, Hawaii 96782",(1) 9-7-023:009,High,0.715977961,31188,17408,13780,0,1,2.4,0.9,343,Paved,0.005,6,2.6,4.020932231,2469.05,1,0.95,1,0.715977961,0.386628099,0.9,0.4,0.715977961,0,Loam,No,1,Catch Basin to Piped Outlet,None,0,0,1,0,0,0,No,Yes,Yes,13780,3445,No,Yes,31188,2469.05,0.386628099
Kapaa Refuse Collection Yard,Refuse Transfer Stations/Collection Yards/Centers,"100 Kapaa Quarry Road
Kailua, Hawaii 96734",(1) 4-2-015:005,High,3.067056933,133601,4016,67581,62004,0.535901677,2.7,0.9,754,Paved,0.021220159,8.5,2.4,17.88707603,5926.445833,1,0.53231151,0.535901677,3.067056933,1.656210744,0.9,0.4,3.067056933,0,Quarry,No,1,Sheet Flow,Detention Pond,0,1,0,0,0,0,Yes,Yes,No,67581,16895.25,No,Yes,133601,5926.445833,1.656210744
Waianae Refuse Collection Yard,Refuse Transfer Stations/Collection Yards/Centers,"86-160 Farrington Highway
Waianae, Hawaii 96792",(1) 8-6-001:044,High,3.345224977,145718,4299,30888,110531,0.241473257,2.3,0.9,113,Paved/Gravel,0.02,14.5,2.3,15.92661612,3246.183333,1,0.267325931,0.241473257,3.345224977,1.806421488,0.9,0.4,3.345224977,0,Clay,Partial,1,Sheet Flow,None,0,1,0,0,0,0,Yes,No,Yes,30888,7722,No,No,145718,3246.183333,1.806421488
Ewa Refuse Convenience Center,Refuse Transfer Stations/Collection Yards/Centers,"91-1000 Geiger Road,
Ewa Beach, Hawaii 96706",(1) 9-1-013:007,Medium,1.105922865,48174,0,24330,23844,0.505044215,2,0.85,431,Paved,0.01,7.8,2.5,4.700172176,2025.475,1,0.504539793,0.505044215,1.105922865,0.564020661,0.85,0.4,1.105922865,0,Mamala Cobbly Silty Clay Loam,Undetermined area,1,Channelized Flow,Grass Swale,0,2,0,1,0,0,No ,No ,Yes,24330,6082.5,No ,No,48174,2025.475,0.564020661
Laie Refuse Convenience Center,Refuse Transfer Stations/Collection Yards/Centers,"56-020 Kamehameha Highway
Laie, Hawaii 96762",(1) 5-6-006:001,High,2.020018365,87992,0,87992,0,1,2,0.85,452,Paved,0.01,8,2.5,8.585078053,6966.033333,1,0.95,1,2.020018365,1.030209366,0.85,0.4,2.020018365,0,Lahaina Silty Clay,Undetermined area,1,Sheet Flow,None,0,3,0,0,0,0,No ,No,No,87992,21998,No ,No,87992,6966.033333,1.030209366
Wahiawa Refuse Convenience Center,Refuse Transfer Stations/Collection Yards/Centers,"71-129 Wilikina Drive
Wahiawa, Hawaii 96786",(1) 7-1-001:009,Medium,1.339554637,58351,0,34300,24051,0.587821974,2.9,0.9,319,Paved,0.07523511,6,2.6,9.090217769,2815.629167,1,0.579039777,0.587821974,1.339554637,0.723359504,0.9,0.4,1.339554637,0,Clay,Undetermined area,1,Sheet Flow,None,0,1,0,0,0,0,No ,No,No,34300,8575,No ,No,58351,2815.629167,0.723359504
Waimanalo Refuse Convenience Center,Refuse Transfer Stations/Collection Yards/Centers,"41-241 Hihimanu Street
Waimanalo, Hawaii 96795",(1) 4-1-009:283,High,0.91751607,39967,0,24294,15673,0.607851477,2.8,0.9,431,Paved/Grass,0.005,34,1.4,3.236996694,1988.579167,1,0.59706633,0.607851477,0.91751607,0.495458678,0.9,0.4,0.91751607,0,Cobbly Silty Clay Loam,Partial,1,Sheet Flow,None,0,1,0,0,0,0,No ,No,Yes,24294,6073.5,No ,No,39967,1988.579167,0.495458678
Waipahu Refuse Convenience Center,Refuse Transfer Stations/Collection Yards/Centers,"93-071 Waipahu Depot Street
Waipahu, Hawaii 96707",(1) 9-3-002:009,High,0.641758494,27955,0,17893,10062,0.640064389,2.3,0.9,223,Bare Soil,0.005,13.5,2,2.656880165,1458.454167,1,0.62605795,0.640064389,0.641758494,0.346549587,0.9,0.4,0.641758494,0,Tropaquets,Partial,1,Channelized Flow,Vegetated Swale,0,0,0,1,0,0,Yes,Yes,Yes,17893,4473.25,No ,Yes,27955,1458.454167,0.346549587
Waianae Refuse Convenience Center,Refuse Transfer Stations/Collection Yards/Centers,"82-572 Waianae Valley Road
Waianae, Hawaii 96792",(1) 8-5-003:001,High,0.609343434,26543,0,16312,10231,0.614549976,2.4,0.9,218,Paved,0.01,7,2.6,3.422072727,1333.995833,1,0.603094978,0.614549976,0.609343434,0.329045455,0.9,0.4,0.609343434,0,Coral Outcrop / Silty Clay Loam,No,1,Channelized Flow,None,0,0,0,1,0,0,No,No,No,16312,4078,No ,No,26543,1333.995833,0.329045455
Waikiki Fire Station,Fire/Police Stations,"381 Kapahulu Ave
Honolulu, Hawaii 96815",3-1-043:002,High,1.48,64468.8,16202.21,20623.87,27642.72,0.571223289,2,0.9,102.75,Paved,0.009,6,2.75,7.326,3030.576,1,0.56410096,0.571223289,1.48,0.7992,0.9,0.4,1.48,0,Loam,No,2,Catch Basin to Piped Outlet/Sheet Flow,None,0,1,1,0,0,0,No,Yes,Yes,0,0,No,N/A,64468.8,3030.576,0.7992
Pearl City Fire Station,Fire/Police Stations,"886 First Street
Pearl City, Hawaii 96782",9-7-020:004,Medium,0.46,20037.6,4962.59,6678.9,8396.11,0.580982253,2.4,0.9,49.59,Average Grass Surface,0.02,9.5,2.3,2.28528,956.60175,1,0.572884028,0.580982253,0.46,0.2484,0.9,0.4,0.46,0,Clay,Undetermined Area,1,Sheet Flow,None,0,1,0,0,0,0,No,Yes,Yes,0,0,No,N/A,20037.6,956.60175,0.2484
Wahiawa Police Station,Fire/Police Stations,"330 North Cane Street
Wahiawa, Hawaii 96786",(1) 7-4-007:006,High,4.15,180774,31603.67,68109.07,81061.26,0.551587839,2.9,0.9,193.89,Paved,0.04,6,2.75,29.786625,8231.6805,1,0.546429055,0.551587839,4.15,2.241,0.9,0.4,4.15,0,Clay,Undetermined Area,2,Catch Basin to Piped Outlet/Channelized Flow,None,0,0,1,1,0,0,No ,Yes,Yes,60,0,No,N/A,180774,8231.6805,2.241
Makiki Fire Station,Fire/Police Station,"1202 Wilder Avenue
Honolulu, Hawaii 96822",2-4-029:029,Low,0.519864096,22645.28,4921.59,5801.04,11922.65,0.473503971,2.4,0.9,142,Average Grass,0.063380282,12,2.2,2.470394182,898.5525833,1,0.476153574,0.473503971,0.519864096,0.280726612,0.9,0.4,0.519864096,0,Loam,No,1,Catch Basin to Piped Outlet,None,0,0,1,0,0,0,No ,Yes,Yes,0,0,No,N/A,22645.28,898.5525833,0.280726612
Manoa Fire Station,Fire/Police Stations,"2850 East Manoa Road
Honolulu, Hawaii 96822",(1) 2-9-021:045,High,0.66,28749.6,6176.2,9549.18,13024.22,0.546977349,2.6,0.9,216,Paved,0.02,6,2.75,4.2471,1299.1935,1,0.542279614,0.546977349,0.66,0.3564,0.9,0.4,0.66,0,Loam,No,1,Sheet Flow,Vegetated Swale,0,1,0,0,0,0,No,Yes,Yes,60,0,No,N/A,28749.6,1299.1935,0.3564
Aikahi Fire Station,Fire/Police Stations,"45 Kaneohe Bay Drive
Kailua, Hawaii 96734",4-4-002-038,Low,0.45,19602,5055,10674.17,3872.83,0.802426793,2.6,0.9,110,Paved,0.018181818,6,2.75,2.89575,1261.36275,1,0.772184114,0.802426793,0.45,0.243,0.9,0.4,0.45,0,Clay,No,1,Sheet Flow,None,0,1,0,0,0,0,No,Yes,Yes,60,0,No,N/A,19602,1261.36275,0.243
Kapolei Police Station,Fire/Police Stations,"1100 Kamokila Boulevard
Kapolei, Hawaii 96707",(1) 9-1-088:003,Low,4.73,206038.8,30715.05,84744.16,90579.59,0.560376055,2.2,0.9,168.71,Paved,0.02,7,2.7,25.28658,9517.93575,1,0.55433845,0.560376055,4.73,2.5542,0.9,0.4,4.73,0,Loam,Undetermined Area,2,Catch Basin to Piped Outlet/Channelized Flow,Media Flume Filter,0,0,1,1,0,0,No,Yes,Yes,120,0,No,N/A,206038.8,9517.93575,2.5542
Mokulele Fire Station and Training Center,Fire/Police Stations,"890 Valkenburgh Street
Honolulu, Hawaii 96818",(1) 1-1-002:012,Low,5.74,250034.4,53159.66,143093.59,53781.15,0.784904997,2.25,0.9,51.5,Paved,0.005,6,2.75,31.964625,15760.80375,1,0.756414497,0.784904997,5.74,3.0996,0.9,0.4,5.74,0,Clay,Undetermined Area,2,Catch Basin to Piped Outlet,Bio Clean Flume Filter,0,0,2,0,0,0,No,Yes,No,0,0,No,N/A,250034.4,15760.80375,3.0996
Kalihi Police Station,Fire/Police Stations,"1861 Kamehemeha IV Road
Honolulu, Hawaii 96819",(1) 1-3-024:006,High,0.7,30492,12935.55,9200.32,8356.13,0.725956644,2.6,0.9,195.01,Paved,0.02,6,2.75,4.5045,1787.24025,1,0.70336098,0.725956644,0.7,0.378,0.9,0.4,0.7,0,Clay,No,2,Catch Basin to Piped Outlet/Sheet Flow,None,0,1,1,0,0,0,No,Yes,Yes,0,0,No,N/A,30492,1787.24025,0.378
Kahuku Police Station,Fire/Police Stations,"56-470 Kamehameha Highway
Kahuku , Hawaii 96731",(1) 5-6-006:020,Medium,1,43560,16732.21,13676.78,13151.01,0.698094353,2.7,0.9,91.31,Paved,0.07,6,2.75,6.6825,2462.17425,1,0.678284917,0.698094353,1,0.54,0.9,0.4,1,0,Loam,No,1,Catch Basin to Piped Outlet,None,0,1,1,0,0,0,No,Yes,Yes,0,0,No,N/A,43560,2462.17425,0.54
Kailua Police Station,Fire/Police Stations,"219 Kuulei Road
Kailua, Hawaii 96734",(1) 4-3-056:008,Medium,0.72,31363.2,13353.37,11209.12,6800.71,0.783162751,2.6,0.9,109.15,Paved,0.005,6,2.75,4.6332,1972.86675,1,0.754846476,0.783162751,0.72,0.3888,0.9,0.4,0.72,0,Sand,No,2,Sheet Flow / Channelized Flow,None,0,1,0,1,0,0,No,Yes,Yes,0,0,No,N/A,31363.2,1972.86675,0.3888
Mililani-Mauka Fire Station,Fire/Police Stations,"95-1990 Meheula Parkway
Mililani, Hawaii 96789",9-5-049-005,Low,0.66,28749.6,11181.44,12231.44,5336.72,0.814372374,2.8,0.9,135.82,Paved,0.02,6,2.75,4.5738,1875.756,1,0.782935136,0.814372374,0.66,0.3564,0.9,0.4,0.66,0,Clay,Undetermined Area,1,Catch Basin to Piped Outlet,None,0,0,1,0,0,0,No ,Yes,Yes,60,0,No,N/A,28749.6,1875.756,0.3564
Kalihi-Uka Fire Station,Fire/Police Stations,"1861 Kamehameha IV Road
Honolulu, Hawaii 96819",1-3-024-006,High,0.57,24829.2,8932.66,11668.25,4228.29,0.829704944,2.5,0.9,258.83,Paved,0.03,6,2.75,3.526875,1648.52325,1,0.79673445,0.829704944,0.57,0.3078,0.9,0.4,0.57,0,Clay,No,2,Sheet Flow,None,0,2,0,0,0,0,No,Yes,Yes,0,0,No,N/A,24829.2,1648.52325,0.3078
Nuuanu Fire Station,Fire/Police Stations,"115 Wyllie Street
Honolulu, Hawaii 96817",1-8-005-027,High,0.71,30927.6,5222.78,10142.65,15562.17,0.496819346,2.6,0.9,103.86,Paved,0.05,6,2.75,4.56885,1281.27225,1,0.497137411,0.496819346,0.71,0.3834,0.9,0.4,0.71,0,Clay,No,1,Sheet Flow,None,0,1,0,0,0,0,No,Yes,Yes,0,0,No,N/A,30927.6,1281.27225,0.3834
Waiau Fire Station,Fire/Police Stations,"98-1109 Komo Mai Drive
Pearl City, Hawaii 96782",9-8-52-015,Low,0.56,24393.6,9394.42,9345.32,5653.86,0.768223632,2.5,0.9,57.65,Paved,0.02,6,2.75,3.465,1507.1205,1,0.741401269,0.768223632,0.56,0.3024,0.9,0.4,0.56,0,Clay,No,1,Sheet Flow,None,0,0,1,0,0,0,No,Yes,Yes,0,0,No,N/A,24393.6,1507.1205,0.3024
Kapolei Fire Station,Fire/Police Stations,"2020 Lauwiliwili Street
Kapolei, Hawaii 96707",(1) 9-1-075:037,Low,1.71,74487.6,18765.04,24095.97,31626.59,0.575411344,2.2,0.9,118.24,Paved,0.005,6,2.75,9.31095,3524.94075,1,0.567870209,0.575411344,1.71,0.9234,0.9,0.4,1.71,0,Clay,Undetermined Area,2,Catch Basin to Piped Outlet,None,0,0,2,0,0,0,None,Yes,Yes,120,0,No,N/A,74487.6,3524.94075,0.9234
Central Fire Station,Fire/Police Stations,"104 South Beretania Street
Honolulu, Hawaii 96813",2-1-009-026,Medium,0.3,13068,6449.73,3271.66,3346.61,0.74390802,2.3,0.9,70.11,Paved,0.03,6,2.75,1.70775,783.55425,1,0.719517218,0.74390802,0.3,0.162,0.9,0.4,0.3,0,Loam,No,1,Sheet Flow,None,0,1,0,0,0,0,No,Yes,Yes,60,0,No,N/A,13068,783.55425,0.162
Olomana Fire Station,Fire/Police Station,"42-510 Kalanianaole Highway
Kailua, Hawaii 96734",4-2-006-006,Low,0.46,20037.6,5814.68,7543.88,6679.04,0.666674652,2.75,0.9,53.5,Paved,0.02,6,2.75,3.130875,1085.382,1,0.650007186,0.666674652,0.46,0.2484,0.9,0.4,0.46,0,Loam,No,1,Sheet Flow,Vegetated Swale,0,1,0,0,0,0,No,Yes,Yes,60,0,No,N/A,20037.6,1085.382,0.2484
